id,dayID,subjectID,attr_starttime,attr_endtime,label_activity,label_subactivity
1,1,4,09.03.15 08:01:46,09.03.15 08:12:05,Eating/Drinking,
2,1,4,09.03.15 08:22:16,09.03.15 11:41:43,DeskWork,
3,1,4,09.03.15 11:47:41,09.03.15 11:52:42,Eating/Drinking,
4,1,4,09.03.15 12:50:59,09.03.15 13:03:39,Transportation,Bicycle
5,1,4,09.03.15 13:06:41,09.03.15 17:45:55,DeskWork,
6,1,4,09.03.15 17:54:33,09.03.15 18:07:58,Transportation,Bicycle
7,2,4,10.03.15 11:32:34,10.03.15 13:34:06,DeskWork,
8,2,4,10.03.15 13:34:35,10.03.15 13:43:57,Movement,GoforaWalk
9,2,4,10.03.15 13:43:15,10.03.15 14:05:02,Eating/Drinking,Brunch
10,2,4,10.03.15 14:08:16,10.03.15 14:09:47,Transportation,Bicycle
11,2,4,10.03.15 14:14:07,10.03.15 17:02:16,DeskWork,
12,2,4,10.03.15 17:06:55,10.03.15 17:13:46,Transportation,Bicycle
13,2,4,10.03.15 17:14:42,10.03.15 18:07:46,DeskWork,
14,2,4,10.03.15 19:10:47,10.03.15 21:00:00,Relaxing,Somethingelse
15,3,4,11.03.15 07:51:02,11.03.15 08:09:49,Eating/Drinking,Breakfast
16,3,4,11.03.15 08:12:40,11.03.15 08:20:55,PersonalGrooming,
17,3,4,11.03.15 08:20:23,11.03.15 08:20:30,DeskWork,
18,3,4,11.03.15 08:25:14,11.03.15 08:34:42,Transportation,Bicycle
19,3,4,11.03.15 08:37:34,11.03.15 10:03:34,DeskWork,
20,3,4,11.03.15 10:08:04,11.03.15 10:12:02,Socializing,Somethingelse
21,3,4,11.03.15 10:14:25,11.03.15 11:44:44,DeskWork,
22,3,4,11.03.15 11:44:55,11.03.15 11:59:55,Socializing,Somethingelse
23,3,4,11.03.15 11:56:56,11.03.15 12:10:24,Eating/Drinking,Lunch
24,3,4,11.03.15 11:57:32,11.03.15 11:57:45,Eating/Drinking,Brunch
25,3,4,11.03.15 11:57:40,11.03.15 13:30:22,DeskWork,
26,3,4,11.03.15 13:36:33,11.03.15 13:47:44,Socializing,Park⁄Outside
27,3,4,11.03.15 13:36:56,11.03.15 13:47:37,Relaxing,Somethingelse
28,3,4,11.03.15 13:43:24,11.03.15 13:47:27,DeskWork,
29,3,4,11.03.15 13:49:54,11.03.15 13:51:36,Socializing,Somethingelse
30,3,4,11.03.15 13:50:54,11.03.15 17:06:58,DeskWork,
31,3,4,11.03.15 17:10:50,11.03.15 17:22:31,Transportation,Bicycle
32,3,4,11.03.15 17:22:47,11.03.15 17:22:51,DeskWork,
33,3,4,11.03.15 17:23:05,11.03.15 17:49:54,Relaxing,Somethingelse
34,3,4,11.03.15 17:23:29,11.03.15 17:58:44,Socializing,Somethingelse
35,3,4,11.03.15 17:49:38,11.03.15 17:59:00,Movement,GoforaWalk
36,3,4,11.03.15 17:49:46,11.03.15 17:58:50,Socializing,Cinema
37,3,4,11.03.15 17:50:14,11.03.15 17:50:17,DeskWork,
38,3,4,11.03.15 17:59:09,11.03.15 18:02:11,Transportation,Bicycle
39,3,4,11.03.15 18:04:49,11.03.15 18:07:28,DeskWork,
40,3,4,11.03.15 18:21:56,11.03.15 18:43:13,Socializing,Somethingelse
41,3,4,11.03.15 18:44:25,11.03.15 18:50:40,Eating/Drinking,Snack
42,3,4,11.03.15 18:45:43,11.03.15 18:54:28,Transportation,Bus
43,3,4,11.03.15 18:58:37,11.03.15 19:41:42,Socializing,Somethingelse
44,3,4,11.03.15 19:00:35,11.03.15 19:41:50,Relaxing,Somethingelse
45,3,4,11.03.15 19:58:27,11.03.15 20:19:08,Socializing,Bar⁄Disco
46,3,4,11.03.15 19:59:08,11.03.15 07:48:35,Relaxing,Somethingelse
47,3,4,11.03.15 20:40:36,12.03.15 07:49:22,Socializing,Bar⁄Disco
48,3,4,11.03.15 21:18:44,12.03.15 07:49:42,Eating/Drinking,Somethingelse
49,4,4,12.03.15 07:48:43,12.03.15 07:49:14,Socializing,Somethingelse
50,4,4,12.03.15 07:49:32,12.03.15 08:03:53,Eating/Drinking,Breakfast
51,4,4,12.03.15 09:01:13,12.03.15 09:20:53,Housework,TidyingUp
52,4,4,12.03.15 09:22:59,12.03.15 09:28:13,DeskWork,
53,4,4,12.03.15 10:15:59,12.03.15 10:16:00,DeskWork,
54,4,4,12.03.15 10:26:38,12.03.15 10:36:38,Transportation,Bus
55,4,4,12.03.15 10:41:30,12.03.15 11:45:28,DeskWork,
56,4,4,12.03.15 12:03:19,12.03.15 12:44:12,DeskWork,
57,4,4,12.03.15 12:47:10,12.03.15 13:30:58,DeskWork,
58,4,4,12.03.15 13:42:17,12.03.15 13:42:21,DeskWork,
59,4,4,12.03.15 13:43:28,12.03.15 13:43:32,Eating/Drinking,Breakfast
60,4,4,12.03.15 13:48:26,12.03.15 14:15:13,Eating/Drinking,Lunch
61,4,4,12.03.15 14:35:26,12.03.15 15:00:09,Socializing,Somethingelse
62,4,4,12.03.15 14:35:39,12.03.15 15:00:05,Eating/Drinking,CoffeeBreak
63,4,4,12.03.15 15:00:19,12.03.15 15:00:21,DeskWork,
64,4,4,12.03.15 16:06:42,12.03.15 17:54:20,DeskWork,
65,4,4,12.03.15 18:02:58,12.03.15 18:03:26,DeskWork,
66,4,4,12.03.15 18:51:16,12.03.15 20:04:43,Transportation,Train
67,4,4,12.03.15 20:16:35,12.03.15 20:24:27,Socializing,Somethingelse
68,4,4,12.03.15 20:53:37,12.03.15 22:09:15,Transportation,Bus
69,4,4,12.03.15 22:42:52,12.03.15 22:55:30,Transportation,Car
70,5,4,13.03.15 11:17:07,13.03.15 11:21:24,Mealpreparation,
71,5,4,13.03.15 11:21:28,13.03.15 11:34:04,Eating/Drinking,Breakfast
72,5,4,13.03.15 12:02:09,13.03.15 12:26:13,DeskWork,
73,5,4,13.03.15 12:44:34,13.03.15 13:11:25,Eating/Drinking,Lunch
74,5,4,13.03.15 13:19:20,13.03.15 13:33:52,DeskWork,
75,5,4,13.03.15 13:38:33,13.03.15 13:49:39,Sleeping,
76,5,4,13.03.15 14:04:12,13.03.15 14:08:11,PersonalGrooming,
77,5,4,13.03.15 14:08:49,13.03.15 16:01:41,DeskWork,
78,5,4,13.03.15 19:20:05,13.03.15 19:31:27,Relaxing,WatchingTV
79,5,4,13.03.15 19:50:42,13.03.15 20:00:03,Transportation,Car
80,5,4,13.03.15 20:02:16,14.03.15 00:49:56,Relaxing,Somethingelse
81,5,4,13.03.15 20:02:28,14.03.15 00:50:06,Socializing,Bar⁄Disco
82,6,4,14.03.15 16:14:12,14.03.15 16:53:37,PersonalGrooming,
83,6,4,14.03.15 17:29:10,14.03.15 19:32:24,Relaxing,Playing
84,6,4,14.03.15 20:28:47,14.03.15 22:41:43,Socializing,Somethingelse
85,6,4,14.03.15 20:55:50,14.03.15 22:13:09,Relaxing,WatchingTV
86,6,4,14.03.15 22:49:42,14.03.15 22:58:11,Relaxing,WatchingTV
87,6,4,14.03.15 22:58:18,14.03.15 23:00:43,Mealpreparation,
88,6,4,14.03.15 23:03:49,14.03.15 23:22:52,Socializing,Somethingelse
89,6,4,14.03.15 23:03:59,14.03.15 23:21:12,Relaxing,WatchingTV
90,6,4,14.03.15 23:04:11,14.03.15 23:20:57,Eating/Drinking,Dinner
91,7,4,15.03.15 11:29:45,15.03.15 11:35:18,Mealpreparation,
92,7,4,15.03.15 11:35:21,15.03.15 11:58:53,Eating/Drinking,Breakfast
93,7,4,15.03.15 12:19:14,15.03.15 12:24:44,Mealpreparation,
94,7,4,15.03.15 13:20:15,15.03.15 13:20:19,Mealpreparation,
95,7,4,15.03.15 13:20:31,15.03.15 13:34:03,Eating/Drinking,Lunch
96,7,4,15.03.15 13:44:59,15.03.15 13:45:01,DeskWork,
97,7,4,15.03.15 14:14:50,15.03.15 14:15:05,Transportation,Scooter
98,7,4,15.03.15 14:14:56,15.03.15 14:22:08,Transportation,Car
99,7,4,15.03.15 15:21:10,15.03.15 15:34:03,Transportation,Car
100,7,4,15.03.15 15:35:46,15.03.15 17:31:36,Socializing,Somethingelse
101,7,4,15.03.15 15:44:16,15.03.15 15:50:04,Eating/Drinking,CoffeeBreak
102,7,4,15.03.15 15:44:22,15.03.15 15:50:01,Eating/Drinking,Snack
103,7,4,15.03.15 16:11:21,15.03.15 16:36:17,Mealpreparation,
104,7,4,15.03.15 17:51:51,15.03.15 17:58:44,Housework,Cleaning
105,7,4,15.03.15 18:12:36,15.03.15 19:51:34,Socializing,Somethingelse
106,7,4,15.03.15 19:51:48,15.03.15 19:51:51,DeskWork,
107,7,4,15.03.15 19:53:15,15.03.15 19:53:19,Transportation,Bicycle
108,7,4,15.03.15 19:53:24,15.03.15 20:05:59,Transportation,Car
109,7,4,15.03.15 20:16:17,15.03.15 23:24:46,Relaxing,WatchingTV
110,8,4,16.03.15 06:59:55,16.03.15 07:09:11,Transportation,Car
111,8,4,16.03.15 07:09:16,16.03.15 07:31:38,Transportation,Train
112,8,4,16.03.15 08:06:05,16.03.15 09:33:52,Transportation,Bus
113,8,4,16.03.15 09:36:31,16.03.15 09:50:55,DeskWork,
114,8,4,16.03.15 09:36:46,16.03.15 09:44:04,Eating/Drinking,Breakfast
115,8,4,16.03.15 09:52:58,16.03.15 11:04:19,Transportation,Train
116,8,4,16.03.15 11:09:13,16.03.15 11:24:41,Transportation,Somethingelse
117,8,4,16.03.15 11:36:12,16.03.15 11:54:41,PersonalGrooming,
118,8,4,16.03.15 11:56:32,16.03.15 12:04:01,Housework,Cleaning
119,8,4,16.03.15 12:24:30,16.03.15 12:28:56,PersonalGrooming,
120,8,4,16.03.15 12:29:15,16.03.15 13:34:47,DeskWork,
121,8,4,16.03.15 13:41:16,16.03.15 13:53:50,Shopping,
122,8,4,16.03.15 13:56:24,16.03.15 14:12:47,Mealpreparation,
123,8,4,16.03.15 14:12:54,16.03.15 14:29:42,Eating/Drinking,Lunch
124,8,4,16.03.15 14:29:55,16.03.15 14:32:43,Housework,Cleaning
125,8,4,16.03.15 14:47:24,16.03.15 18:00:29,DeskWork,
126,8,4,16.03.15 18:20:02,16.03.15 18:36:56,DeskWork,
127,8,4,16.03.15 18:37:05,16.03.15 19:16:39,Relaxing,WatchingTV
128,8,4,16.03.15 19:16:56,16.03.15 19:52:00,Eating/Drinking,Dinner
129,8,4,16.03.15 19:35:27,16.03.15 19:51:58,Socializing,Somethingelse
130,8,4,16.03.15 19:56:56,16.03.15 20:07:21,Housework,Somethingelse
131,8,4,16.03.15 20:16:44,16.03.15 21:25:11,Relaxing,WatchingTV
132,8,4,16.03.15 21:25:56,16.03.15 21:31:37,PersonalGrooming,
133,9,4,17.03.15 07:47:11,17.03.15 08:01:53,Eating/Drinking,Breakfast
134,9,4,17.03.15 08:04:40,17.03.15 08:34:04,PersonalGrooming,
135,9,4,17.03.15 08:48:07,17.03.15 08:59:07,Shopping,
136,9,4,17.03.15 09:26:25,17.03.15 09:37:27,Transportation,Bicycle
137,9,4,17.03.15 10:18:54,17.03.15 11:26:27,DeskWork,
138,9,4,17.03.15 11:44:59,17.03.15 11:49:39,Eating/Drinking,Lunch
139,9,4,17.03.15 12:06:21,17.03.15 14:22:52,DeskWork,
140,9,4,17.03.15 14:25:00,17.03.15 14:32:45,Eating/Drinking,Snack
141,9,4,17.03.15 14:57:12,17.03.15 15:54:13,Eating/Drinking,Somethingelse
142,9,4,17.03.15 15:54:25,17.03.15 16:11:19,Socializing,Somethingelse
143,9,4,17.03.15 16:37:18,17.03.15 16:45:49,Transportation,Bicycle
144,9,4,17.03.15 16:46:26,17.03.15 17:02:14,Shopping,
145,9,4,17.03.15 17:02:19,17.03.15 17:11:07,Transportation,Bicycle
146,9,4,17.03.15 17:24:33,17.03.15 18:51:43,DeskWork,
147,9,4,17.03.15 18:53:11,17.03.15 19:07:14,Transportation,Bicycle
148,9,4,17.03.15 19:17:34,17.03.15 19:19:50,Housework,Somethingelse
149,9,4,17.03.15 19:19:55,17.03.15 20:21:16,Eating/Drinking,Dinner
150,9,4,17.03.15 19:20:06,17.03.15 20:21:14,Socializing,atHome
151,9,4,17.03.15 21:02:22,17.03.15 23:02:34,DeskWork,
152,10,4,18.03.15 08:20:00,18.03.15 08:31:28,Transportation,Bicycle
153,10,4,18.03.15 08:34:37,18.03.15 10:05:45,DeskWork,
154,10,4,18.03.15 10:21:33,18.03.15 10:22:03,DeskWork,
155,10,4,18.03.15 11:44:03,18.03.15 11:44:05,DeskWork,
