id,dayID,subjectID,attr_starttime,attr_endtime,label_activity,label_subactivity
1,1,1,19.03.15 08:33:11,19.03.15 08:45:39,Eating/Drinking,Breakfast
2,1,1,19.03.15 08:45:46,19.03.15 08:58:27,Housework,Cleaning
3,1,1,19.03.15 09:01:47,19.03.15 09:07:23,PersonalGrooming,
4,1,1,19.03.15 09:07:56,19.03.15 09:08:16,Transportation,Somethingelse
5,1,1,19.03.15 09:08:34,19.03.15 09:13:17,Transportation,Bicycle
6,1,1,19.03.15 09:13:46,19.03.15 10:04:39,DeskWork,
7,1,1,19.03.15 10:08:46,19.03.15 10:18:01,Transportation,Bicycle
8,1,1,19.03.15 10:21:36,19.03.15 10:23:44,PersonalGrooming,
9,1,1,19.03.15 10:26:04,19.03.15 10:32:25,Transportation,Bicycle
10,1,1,19.03.15 10:39:59,19.03.15 10:58:22,Relaxing,Somethingelse
11,1,1,19.03.15 10:58:37,19.03.15 11:12:55,Movement,GoHome
12,1,1,19.03.15 11:02:24,19.03.15 11:11:07,Transportation,Bicycle
13,1,1,19.03.15 11:23:55,19.03.15 11:44:40,DeskWork,
14,1,1,19.03.15 11:44:45,19.03.15 11:51:58,Mealpreparation,
15,1,1,19.03.15 11:52:05,19.03.15 12:51:58,Eating/Drinking,Lunch
16,1,1,19.03.15 12:52:08,19.03.15 13:02:24,Movement,GotoWork
17,1,1,19.03.15 13:07:15,19.03.15 14:22:23,DeskWork,
18,1,1,19.03.15 14:30:38,19.03.15 18:01:48,DeskWork,
19,1,1,19.03.15 18:20:46,19.03.15 18:28:52,Eating/Drinking,Dinner
20,1,1,19.03.15 18:32:39,19.03.15 19:25:03,Relaxing,Somethingelse
21,1,1,19.03.15 19:25:10,19.03.15 19:27:14,PersonalGrooming,
22,1,1,19.03.15 19:27:23,19.03.15 21:11:53,Relaxing,Somethingelse
23,2,1,20.03.15 09:01:01,20.03.15 09:17:17,Mealpreparation,
24,2,1,20.03.15 09:17:25,20.03.15 09:26:38,Eating/Drinking,Breakfast
25,2,1,20.03.15 09:26:45,20.03.15 09:49:35,Housework,Somethingelse
26,2,1,20.03.15 09:49:45,20.03.15 10:14:49,Movement,GotoWork
27,2,1,20.03.15 10:15:16,20.03.15 10:19:30,Eating/Drinking,Snack
28,2,1,20.03.15 11:13:10,20.03.15 11:58:33,Eating/Drinking,Lunch
